date,creator_tag,Spend,Campaign Name,Adset Name,Ad Name,ROAS,CTR,Hook Rate,Website Purchase,CPM,Frequency,Impressions,Thruplays,Video avg play time,Hold Rate
2026-02-26,Plyska,£0.00,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H4 - Copy,0,0.00%,100.00%,0,£0.00,1,1,0,5,0.00%
2026-02-26,Plyska,£0.10,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H6 - Copy,0,0.00%,10.00%,0,£10.00,1,10,0,2,0.00%
2026-02-26,Plyska,£0.21,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H5 - Copy,0,0.00%,0.00%,0,£42.00,1,5,0,1,0.00%
2026-02-26,Plyska,£0.04,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H3 - Copy,0,0.00%,0.00%,0,£20.00,2,2,0,2,0.00%
2026-02-26,Plyska,£0.12,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H1 - Copy,0,0.00%,77.78%,0,£13.33,1,9,0,4,0.00%
2026-02-26,Plyska,£0.43,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H4 - Copy,0,0.00%,25.81%,0,£13.87,1,31,1,3,3.57%
2026-02-26,Plyska,£0.07,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H3 - Copy,0,0.00%,12.50%,0,£8.75,1.14,8,0,2,0.00%
2026-02-26,Plyska,£0.20,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H6 - Copy,0,0.00%,14.29%,0,£28.57,1,7,0,2,0.00%
2026-02-26,Plyska,£0.05,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H1 - Copy,0,0.00%,25.00%,0,£6.25,1,8,1,5,14.29%
2026-02-26,Plyska,£0.63,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H5 - Copy,0,0.00%,32.56%,0,£14.65,1.07,43,3,5,8.33%
2026-02-26,Plyska,£1.02,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H4 - Copy,0,2.60%,23.38%,0,£13.25,1.04,77,4,4,5.97%
2026-02-26,Plyska,£0.19,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H6 - Copy,0,0.00%,26.09%,0,£8.26,1.15,23,2,4,9.52%
2026-02-26,Plyska,£1.06,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H2 - Copy,0,1.56%,43.75%,0,£16.56,1.02,64,5,5,9.26%
2026-02-26,Plyska,£1.04,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H3 - Copy,0,0.00%,30.43%,0,£11.30,1.06,92,7,5,8.54%
2026-02-26,Plyska,£1.96,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H1 - Copy,0,0.68%,31.08%,0,£13.24,1.1,148,9,5,6.82%
